Issue ID,Issue Labels,Issue URL,Issue Title,Issue create date,Issue closed date,PR ID,PR URL,PR Title,PR create date,PR closed date,Bug duration,Fix loc,Fix files,Fix modules,Bug priority,Reopen?
133222,"{'requires-incomplete-features', 'F-pin_ergonomics', 'A-coercions', 'T-compiler', 'S-has-mcve', 'C-bug'}",https://github.com/rust-lang/rust/issues/133222,"`pin_ergonomics` leads to bizarre ""expected `Pin<X>` found `Pin<X>`"" type errors",2024-11-19T23:02:42Z,2024-11-28T13:59:59Z,133358,https://github.com/rust-lang/rust/pull/133358,Don't type error if we fail to coerce `Pin<T>` because it doesnt contain a ref,2024-11-23 01:42,2024-11-28 14:00,8,40,"['coercion.rs', 'coerce-non-pointer-pin.rs', 'coerce-non-pointer-pin.stderr', 'reborrow-arg.rs', 'reborrow-const-as-mut.rs', 'reborrow-const-as-mut.stderr', 'reborrow-once.rs', 'reborrow-once.stderr', 'reborrow-self.rs', 'reborrow-shorter.rs', 'sugar-ambiguity.rs', 'sugar-no-const.rs', 'sugar-no-const.stderr', 'sugar.rs']","['compiler/rustc_hir_typeck/src', 'tests/ui/async-await/pin-ergonomics', 'tests/ui/async-await/pin-ergonomics', 'tests/ui/async-await/pin-ergonomics', 'tests/ui/async-await/pin-ergonomics', 'tests/ui/async-await/pin-ergonomics', 'tests/ui/async-await/pin-ergonomics', 'tests/ui/async-await/pin-ergonomics', 'tests/ui/async-await/pin-ergonomics', 'tests/ui/async-await/pin-ergonomics', 'tests/ui/async-await/pin-ergonomics', 'tests/ui/async-await/pin-ergonomics', 'tests/ui/async-await/pin-ergonomics', 'tests/ui/async-await/pin-ergonomics']",,0
133117,"{'I-ICE', 'F-never_patterns', 'A-MIR', 'S-bug-has-test', 'A-patterns', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/133117,ICE: `leaf_candidate.false_edge_start_block.is_some()` duplicate match arm,2024-11-16T18:52:05Z,2025-01-23T01:02:29Z,135409,https://github.com/rust-lang/rust/pull/135409,Fix ICE-133117: multiple never-pattern arm doesn't have false_edge_start_block,2025-01-12 14:47,2025-01-23 01:02,67,144,"['mod.rs', '130779.rs', '133063.rs', '133117.rs', 'ICE-130779-never-arm-no-oatherwise-block.rs', 'ICE-130779-never-arm-no-oatherwise-block.stderr', 'ICE-133063-never-arm-no-otherwise-block.rs', 'ICE-133063-never-arm-no-otherwise-block.stderr', 'ICE-133117-duplicate-never-arm.rs', 'ICE-133117-duplicate-never-arm.stderr']","['compiler/rustc_mir_build/src/builder/matches', 'tests/crashes', 'tests/crashes', 'tests/crashes', 'tests/ui/rfcs/rfc-0000-never_patterns', 'tests/ui/rfcs/rfc-0000-never_patterns', 'tests/ui/rfcs/rfc-0000-never_patterns', 'tests/ui/rfcs/rfc-0000-never_patterns', 'tests/ui/rfcs/rfc-0000-never_patterns', 'tests/ui/rfcs/rfc-0000-never_patterns']",,0
133064,"{'I-ICE', 'S-has-bisection', 'A-HIR', 'T-compiler', 'S-has-mcve', 'C-bug', 'A-macros'}",https://github.com/rust-lang/rust/issues/133064,ICE: `node HirId .. cannot be placed in TypeckResults with hir_owner DefId ..`,2024-11-15T08:38:01Z,2024-11-28T18:59:52Z,133468,https://github.com/rust-lang/rust/pull/133468,always create `DefId`s for anon consts,2024-11-25 17:52,2024-11-28 18:59,13,803,"['ast.rs', 'asm.rs', 'expr.rs', 'lib.rs', 'def.rs', 'encoder.rs', 'def_collector.rs', 'late.rs', 'lib.rs', 'const_arg_trivial_macro_expansion-1.rs', 'const_arg_trivial_macro_expansion-3-pass.rs', 'const_arg_trivial_macro_expansion-4.rs', 'const_arg_trivial_macro_expansion-4.stderr', 'issue-36163.stderr']","['compiler/rustc_ast/src', 'compiler/rustc_ast_lowering/src', 'compiler/rustc_ast_lowering/src', 'compiler/rustc_ast_lowering/src', 'compiler/rustc_hir/src', 'compiler/rustc_metadata/src/rmeta', 'compiler/rustc_resolve/src', 'compiler/rustc_resolve/src', 'compiler/rustc_resolve/src', 'tests/ui/const-generics/early', 'tests/ui/const-generics/early', 'tests/ui/const-generics/early', 'tests/ui/const-generics/early', 'tests/ui/consts']",,0
133063,"{'I-ICE', 'S-has-bisection', 'F-never_patterns', 'F-if_let_guard', 'A-MIR', 'S-bug-has-test', 'A-patterns', 'T-compiler', 'S-has-mcve', 'C-bug'}",https://github.com/rust-lang/rust/issues/133063,ICE: compiler/rustc_mir_build/src/build/matches/mod.rs `None`,2024-11-15T08:29:04Z,2025-01-23T01:02:29Z,135409,https://github.com/rust-lang/rust/pull/135409,Fix ICE-133117: multiple never-pattern arm doesn't have false_edge_start_block,2025-01-12 14:47,2025-01-23 01:02,68,144,"['mod.rs', '130779.rs', '133063.rs', '133117.rs', 'ICE-130779-never-arm-no-oatherwise-block.rs', 'ICE-130779-never-arm-no-oatherwise-block.stderr', 'ICE-133063-never-arm-no-otherwise-block.rs', 'ICE-133063-never-arm-no-otherwise-block.stderr', 'ICE-133117-duplicate-never-arm.rs', 'ICE-133117-duplicate-never-arm.stderr']","['compiler/rustc_mir_build/src/builder/matches', 'tests/crashes', 'tests/crashes', 'tests/crashes', 'tests/ui/rfcs/rfc-0000-never_patterns', 'tests/ui/rfcs/rfc-0000-never_patterns', 'tests/ui/rfcs/rfc-0000-never_patterns', 'tests/ui/rfcs/rfc-0000-never_patterns', 'tests/ui/rfcs/rfc-0000-never_patterns', 'tests/ui/rfcs/rfc-0000-never_patterns']",,0
132920,"{'I-ICE', 'A-trait-system', 'P-high', 'regression-from-stable-to-nightly', 'T-compiler', 'S-has-mcve', 'C-bug', 'A-diagnostics'}",https://github.com/rust-lang/rust/issues/132920,error: the compiler unexpectedly panicked. this is a bug.,2024-11-11T21:26:09Z,2024-11-27T04:53:00Z,133304,https://github.com/rust-lang/rust/pull/133304,Revert diagnostics hack to fix ICE 132920,2024-11-21 18:02,2024-11-27 04:53,15,126,"['fulfillment_errors.rs', 'rmake.rs', 'minibevy.rs', 'minirapier.rs', 'repro.rs', 'rmake.rs']","['compiler/rustc_trait_selection/src/error_reporting/traits', 'tests/run-make/crate-loading', 'tests/run-make/diagnostics-traits-from-duplicate-crates', 'tests/run-make/diagnostics-traits-from-duplicate-crates', 'tests/run-make/diagnostics-traits-from-duplicate-crates', 'tests/run-make/diagnostics-traits-from-duplicate-crates']",P-high,0
132805,"{'T-compiler', 'C-bug', 'A-CLI', 'A-mir-opt', 'A-diagnostics'}",https://github.com/rust-lang/rust/issues/132805,`-Zmir-enable-passes=` has no error handling,2024-11-09T11:43:02Z,2024-11-12T21:18:13Z,132901,https://github.com/rust-lang/rust/pull/132901,Warn about invalid `mir-enable-passes` pass names,2024-11-11 13:06,2024-11-12 21:18,3,292,"['messages.ftl', 'errors.rs', 'lib.rs', 'pass_manager.rs', 'enable_passes_validation.all_unknown.stderr', 'enable_passes_validation.empty.stderr', 'enable_passes_validation.mixed.stderr', 'enable_passes_validation.rs', 'enable_passes_validation.unprefixed.stderr']","['compiler/rustc_mir_transform', 'compiler/rustc_mir_transform/src', 'compiler/rustc_mir_transform/src', 'compiler/rustc_mir_transform/src', 'tests/ui/mir', 'tests/ui/mir', 'tests/ui/mir', 'tests/ui/mir', 'tests/ui/mir']",,0
132691,"{'I-ICE', 'A-associated-items', 'A-trait-objects', 'T-types', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132691,[ICE]: error performing operation: fully_perform,2024-11-06T12:45:24Z,2024-11-06T15:48:46Z,,,,,,0,,,,,0
132689,"{'I-ICE', 'A-trait-system', 'A-associated-items', 'fixed-by-next-solver', 'T-types', 'A-higher-ranked', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132689,[ICE]: something not fully resolved,2024-11-06T12:42:52Z,2024-11-06T15:42:01Z,,,,,,0,,,,,0
132688,"{'I-ICE', 'A-trait-system', 'A-associated-items', 'T-types', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132688,[ICE]: error performing operation: fully_perform,2024-11-06T12:40:43Z,2024-11-06T15:44:09Z,,,,,,0,,,,,0
132687,"{'I-ICE', 'A-trait-system', 'A-associated-items', 'fixed-by-next-solver', 'T-types', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132687,[ICE]: error performing operation: fully_perform,2024-11-06T12:39:41Z,2024-11-06T15:46:51Z,,,,,,0,,,,,0
132686,"{'I-ICE', 'A-trait-system', 'T-types', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132686,[ICE]: unexpected ambiguity & error performing operation: fully_perform,2024-11-06T12:38:38Z,2024-11-06T15:49:50Z,,,,,,0,,,,,0
132685,"{'I-ICE', 'A-trait-system', 'A-trait-objects', 'fixed-by-next-solver', 'T-types', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132685,[ICE]: Broken MIR: `Box<dyn …$T…>` is not a subtype of `Box<dyn …$AssocTy…>`: No solution,2024-11-06T12:36:44Z,2024-11-06T15:56:02Z,,,,,,0,,,,,0
132681,"{'I-ICE', 'A-trait-system', 'fixed-by-next-solver', 'A-impl-trait', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132681,[ICE]: TyKind::Error constructed but no error reported,2024-11-06T12:27:30Z,2024-11-06T14:09:18Z,,,,,,0,,,,,0
132678,"{'I-ICE', 'fixed-by-next-solver', 'A-impl-trait', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132678,[ICE]: failure to relate an opaque to itself should result in an error later,2024-11-06T12:17:30Z,2024-11-06T14:05:35Z,,,,,,0,,,,,0
132676,"{'I-ICE', 'A-trait-system', 'fixed-by-next-solver', 'T-types', 'A-higher-ranked', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132676,[ICE]: error performing operation: fully_perform,2024-11-06T07:19:43Z,2024-11-06T16:01:35Z,,,,,,0,,,,,0
132372,"{'S-has-bisection', 'A-associated-items', 'T-types', 'regression-from-stable-to-nightly', 'T-compiler', 'S-has-mcve', 'C-bug', 'A-type-system'}",https://github.com/rust-lang/rust/issues/132372,Shorthand projections inside RPITITs fail to resolve,2024-10-30T21:34:38Z,2024-10-31T03:35:01Z,132373,https://github.com/rust-lang/rust/pull/132373,Make sure `type_param_predicates` resolves correctly for RPITIT,2024-10-30 22:33,2024-10-31 03:35,0,23,"['predicates_of.rs', 'shorthand-projection-in-rpitit-bound.rs']","['compiler/rustc_hir_analysis/src/collect', 'tests/ui/impl-trait/in-trait']",,0
132330,"{'I-ICE', 'A-trait-system', 'S-bug-has-test', 'T-compiler', 'S-has-mcve', 'C-bug', 'WG-trait-system-refactor'}",https://github.com/rust-lang/rust/issues/132330,ICE with next-solver: ExistentialMismatch,2024-10-29T20:33:29Z,2025-02-22T06:11:47Z,,,,,,115,,,,,0
132120,"{'I-ICE', 'A-THIR', 'T-compiler', 'S-has-mcve', 'C-bug', 'A-const-generics'}",https://github.com/rust-lang/rust/issues/132120,ICE with const blocks in rustc_legacy_const_generics,2024-10-24T20:53:25Z,2024-12-15T14:43:42Z,,,,,,51,,,,,0
132000,"{'T-types', 'A-trait-objects', 'regression-from-stable-to-beta', 'C-bug'}",https://github.com/rust-lang/rust/issues/132000,regression: Compiler error with dyn + for<'a>,2024-10-21T13:27:49Z,2025-01-02T11:18:54Z,,,,,,72,,,,,0
131969,"{'A-trait-system', 'P-high', 'regression-from-stable-to-nightly', 'C-bug'}",https://github.com/rust-lang/rust/issues/131969,Diesel new coherence failure: conflicting implementations of trait,2024-10-20T13:51:12Z,2024-10-21T20:18:01Z,132001,https://github.com/rust-lang/rust/pull/132001,fix coherence error for very large tuples™,2024-10-21 14:26,2024-10-21 20:18,1,122,"['canonical.rs', 'coherence.rs', 'do-not-bail-due-to-placeholders.rs', 'normalize-allow-too-many-vars.rs', 'coherence-alias-hang.rs', 'recursion-limit-zero-issue-115351.rs', 'recursion-limit-zero-issue-115351.stderr']","['compiler/rustc_next_trait_solver/src/solve/eval_ctxt', 'compiler/rustc_trait_selection/src/traits', 'tests/ui/traits/next-solver/canonical', 'tests/ui/traits/next-solver/normalize', 'tests/ui/traits/next-solver/overflow', 'tests/ui/traits/next-solver/overflow', 'tests/ui/traits/next-solver/overflow']",P-high,0
131915,"{'I-ICE', 'S-bug-has-test', 'A-HIR', 'T-compiler', 'A-ast', 'C-bug'}",https://github.com/rust-lang/rust/issues/131915,ICE: `adding a def'n for node-id NodeId(13) and def kind AnonConst but a previous def'n exists: DefKey`,2024-10-19T06:33:25Z,2024-11-12T08:14:33Z,132653,https://github.com/rust-lang/rust/pull/132653,Don't use `maybe_unwrap_block` when checking for macro calls in a block expr,2024-11-05 17:26,2024-11-12 08:14,24,502,"['ast.rs', 'def_collector.rs', '131915.rs', 'const_arg_trivial_macro_expansion-2.rs', 'const_arg_trivial_macro_expansion-2.stderr', 'const_arg_trivial_macro_expansion.rs']","['compiler/rustc_ast/src', 'compiler/rustc_resolve/src', 'tests/crashes', 'tests/ui/const-generics/early', 'tests/ui/const-generics/early', 'tests/ui/const-generics/early']",,0
131902,"{'I-ICE', 'T-compiler', 'A-MIR', 'C-bug'}",https://github.com/rust-lang/rust/issues/131902,Panic in `rustc` when casting invalid enum discriminant,2024-10-18T20:03:13Z,2024-10-24T05:47:51Z,131909,https://github.com/rust-lang/rust/pull/131909,Prevent overflowing enum cast from ICEing,2024-10-18 22:09,2024-10-24 05:47,5,79,"['expr.rs', 'E0081.rs', 'E0081.stderr']","['compiler/rustc_mir_build/src/thir/cx', 'tests/ui/error-codes', 'tests/ui/error-codes']",,0
131839,"{'A-trait-system', 'T-compiler', 'C-bug', 'T-rustdoc'}",https://github.com/rust-lang/rust/issues/131839,Some trait methods don't appear in the documentation for types that implement the trait,2024-10-17T15:53:19Z,2024-10-22T01:38:02Z,131840,https://github.com/rust-lang/rust/pull/131840,Dont consider predicates that may hold as impossible in `is_impossible_associated_item`,2024-10-17 16:34,2024-10-22 01:38,4,34,"['mod.rs', 'impossible-default.rs']","['compiler/rustc_trait_selection/src/traits', 'tests/rustdoc']",,0
131820,"{'A-trait-objects', 'T-types', 'T-compiler', 'C-bug', 'F-trait_upcasting', 'A-auto-traits'}",https://github.com/rust-lang/rust/issues/131820,vtables may be include auto traits,2024-10-17T08:43:58Z,2024-10-17T20:41:18Z,,,,,,0,,,,,0
131813,"{'A-trait-objects', 'I-unsound', 'T-types', 'requires-nightly', 'A-coercions', 'T-compiler', 'C-bug', 'F-trait_upcasting'}",https://github.com/rust-lang/rust/issues/131813,`trait_upcasting` unsoundness due to reordered super traits,2024-10-17T03:55:14Z,2024-10-18T20:05:26Z,131864,https://github.com/rust-lang/rust/pull/131864,Never emit `vptr` for empty/auto traits,2024-10-18 00:30,2024-10-18 20:05,1,50,"['vtable.rs', 'print_vtable_sizes.stdout', 'upcast_reorder.rs', 'multiple-markers.stderr']","['compiler/rustc_trait_selection/src/traits', 'tests/ui/traits/object', 'tests/ui/traits', 'tests/ui/traits/vtable']",,0
131603,"{'I-ICE', 'T-compiler', 'C-bug', 'A-borrow-checker', 'E-needs-mcve'}",https://github.com/rust-lang/rust/issues/131603,ICE: Cannot convert erased region to a region VID,2024-10-12T13:55:23Z,2024-12-28T10:09:31Z,,,,,,76,,,,,0
131538,"{'I-ICE', 'A-trait-system', 'A-GATs', 'F-generic_associated_types_extended', 'F-trivial_bounds', 'A-inference', 'T-compiler', 'C-bug', 'F-return_type_notation'}",https://github.com/rust-lang/rust/issues/131538,ICE: unexpected const placeholder ,2024-10-11T09:36:52Z,2024-12-07T08:35:39Z,,,,,,56,,,,,0
131535,"{'I-ICE', 'A-trait-system', 'F-non_lifetime_binders', 'S-bug-has-test', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/131535,"ICE: `WellFormed .. has escaping bound vars, so it cannot be wrapped in a dummy binder.`",2024-10-11T08:44:48Z,2024-11-17T12:50:57Z,132832,https://github.com/rust-lang/rust/pull/132832,Deny capturing late-bound ty/const params in nested opaques,2024-11-10 04:37,2024-11-17 12:50,37,97,"['resolve_bound_vars.rs', '131535.rs', '131637.rs', '132530.rs', 'non-lifetime-binder-in-constraint.rs', 'non-lifetime-binder-in-constraint.stderr', 'non-lifetime-binder.rs', 'non-lifetime-binder.stderr']","['compiler/rustc_hir_analysis/src/collect', 'tests/crashes', 'tests/crashes', 'tests/crashes', 'tests/ui/type-alias-impl-trait', 'tests/ui/type-alias-impl-trait', 'tests/ui/type-alias-impl-trait', 'tests/ui/type-alias-impl-trait']",,0
131338,"{'A-coercions', 'C-feature-request'}",https://github.com/rust-lang/rust/issues/131338,Owned Reference will not Deref,2024-10-06T19:20:22Z,2024-10-06T22:34:21Z,,,,,,0,,,,,0
131227,"{'I-ICE', 'S-bug-has-test', 'T-compiler', 'S-has-mcve', 'C-bug', 'A-mir-opt'}",https://github.com/rust-lang/rust/issues/131227,[ICE]: got a pointer where a ScalarInt was expected: alloc1,2024-10-04T07:35:23Z,2024-12-10T06:31:22Z,134073,https://github.com/rust-lang/rust/pull/134073,dataflow_const_prop: do not eval a ptr address in SwitchInt,2024-12-09 12:31,2024-12-10 06:31,66,44,"['dataflow_const_prop.rs', '131227.rs', 'ptr-in-switch-int-issue-131227.rs']","['compiler/rustc_mir_transform/src', 'tests/crashes', 'tests/ui/dataflow_const_prop']",,0
131219,"{'C-optimization', 'T-compiler', 'A-mir-opt'}",https://github.com/rust-lang/rust/issues/131219,"[MIR-opt] `matches!(x, Some(_))` should simplify to `Eq(Discriminant, Const)`",2024-10-03T21:33:53Z,2024-12-28T13:48:38Z,131244,https://github.com/rust-lang/rust/pull/131244,Consider empty-unreachable otherwise branches in MatchBranchSimplification,2024-10-04 15:12,2024-12-28 13:48,85,137,"['packed.rs', 'terminator.rs', 'match_branches.rs', 'issue_59352.num_to_digit.PreCodegen.after.panic-abort.mir', 'issue_59352.num_to_digit.PreCodegen.after.panic-unwind.mir', 'matches_reduce_branches.my_is_some.MatchBranchSimplification.diff', 'matches_reduce_branches.rs']","['compiler/rustc_data_structures/src', 'compiler/rustc_middle/src/mir', 'compiler/rustc_mir_transform/src', 'tests/mir-opt/issues', 'tests/mir-opt/issues', 'tests/mir-opt', 'tests/mir-opt']",,0
131195,"{'I-unsound', 'P-critical', 'I-miscompile', 'T-compiler', 'C-bug', 'A-mir-opt'}",https://github.com/rust-lang/rust/issues/131195,`-Zmir-opt-level` miscompiles code with panic,2024-10-03T11:29:04Z,2024-10-04T06:46:43Z,131201,https://github.com/rust-lang/rust/pull/131201,Disable jump threading `UnOp::Not` for non-bool,2024-10-03 13:48,2024-10-04 06:46,0,111,"['jump_threading.rs', 'jump_threading.bitwise_not.JumpThreading.panic-abort.diff', 'jump_threading.bitwise_not.JumpThreading.panic-unwind.diff', 'jump_threading.rs']","['compiler/rustc_mir_transform/src', 'tests/mir-opt', 'tests/mir-opt', 'tests/mir-opt']",P-critical,0
131123,"{'I-ICE', 'F-type_alias_impl_trait', 'T-rustdoc', 'A-synthetic-impls', 'C-bug', 'E-needs-mcve', 'A-auto-traits'}",https://github.com/rust-lang/rust/issues/131123,ICE when running `cargo doc`: unexpected region kind: !2_1,2024-10-02T01:35:08Z,2024-10-02T13:34:56Z,,,,,,0,,,,,0
131064,"{'I-ICE', 'T-compiler', 'A-mir-opt', 'C-bug'}",https://github.com/rust-lang/rust/issues/131064,"ICE: `assertion failed: matches!(scalar, Scalar::Int(..))`",2024-09-30T12:46:54Z,2024-10-07T03:20:58Z,131068,https://github.com/rust-lang/rust/pull/131068,Don't use Immediate::offset to transmute pointers to integers,2024-09-30 16:01,2024-10-07 03:21,6,122,"['operand.rs', 'place.rs', 'projection.rs', 'gvn.rs', 'closure_macro.cov-map', 'closure_macro_async.cov-map']","['compiler/rustc_const_eval/src/interpret', 'compiler/rustc_const_eval/src/interpret', 'compiler/rustc_const_eval/src/interpret', 'compiler/rustc_mir_transform/src', 'tests/coverage', 'tests/coverage']",,0
130985,"{'relnotes', 'A-trait-objects', 'T-types', 'A-coercions', 'relnotes-tracking-issue', 'WG-trait-system-refactor', 'T-lang'}",https://github.com/rust-lang/rust/issues/130985,Tracking issue for release notes of #126660: Allow dropping `dyn Trait` principal,2024-09-28T16:36:21Z,2024-11-22T22:13:27Z,,,,,,55,,,,,0
