Issue ID,Issue Labels,Issue URL,Status,Found by,Symptoms,Test validity,Stage,Bug Cause,# Affected module,Issue Title,Issue create date,Issue closed date,PR ID,PR URL,PR Title,PR create date,PR closed date,Bug duration,Fix loc,Fix files,Fix modules,Bug priority,Reopen?,Test case (original),Test case (reduced),core,async,dyn,std,Lifetime,trait,flag,command,unstable features
132689,"{'I-ICE', 'A-trait-system', 'A-associated-items', 'fixed-by-next-solver', 'T-types', 'A-higher-ranked', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132689,duplicate,,,,,,,[ICE]: something not fully resolved,2024-11-06T12:42:52Z,2024-11-06T15:42:01Z,,,,,,0,,,,,0,,,,,,,,,,,
132688,"{'I-ICE', 'A-trait-system', 'A-associated-items', 'T-types', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132688,duplicate,,,,,,,[ICE]: error performing operation: fully_perform,2024-11-06T12:40:43Z,2024-11-06T15:44:09Z,,,,,,0,,,,,0,,,,,,,,,,,
132687,"{'I-ICE', 'A-trait-system', 'A-associated-items', 'fixed-by-next-solver', 'T-types', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132687,duplicate,,,,,,,[ICE]: error performing operation: fully_perform,2024-11-06T12:39:41Z,2024-11-06T15:46:51Z,,,,,,0,,,,,0,,,,,,,,,,,
132686,"{'I-ICE', 'A-trait-system', 'T-types', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132686,duplicate,,,,,,,[ICE]: unexpected ambiguity & error performing operation: fully_perform,2024-11-06T12:38:38Z,2024-11-06T15:49:50Z,,,,,,0,,,,,0,,,,,,,,,,,
132685,"{'I-ICE', 'A-trait-system', 'A-trait-objects', 'fixed-by-next-solver', 'T-types', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132685,duplicate,,,,,,,[ICE]: Broken MIR: `Box<dyn 鈥?T鈥?` is not a subtype of `Box<dyn 鈥?AssocTy鈥?`: No solution,2024-11-06T12:36:44Z,2024-11-06T15:56:02Z,,,,,,0,,,,,0,,,,,,,,,,,
132681,"{'I-ICE', 'A-trait-system', 'fixed-by-next-solver', 'A-impl-trait', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132681,duplicate,,,,,,,[ICE]: TyKind::Error constructed but no error reported,2024-11-06T12:27:30Z,2024-11-06T14:09:18Z,,,,,,0,,,,,0,,,,,,,,,,,
132678,"{'I-ICE', 'fixed-by-next-solver', 'A-impl-trait', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132678,duplicate,,,,,,,[ICE]: failure to relate an opaque to itself should result in an error later,2024-11-06T12:17:30Z,2024-11-06T14:05:35Z,,,,,,0,,,,,0,,,,,,,,,,,
132676,"{'I-ICE', 'A-trait-system', 'fixed-by-next-solver', 'T-types', 'A-higher-ranked', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/132676,duplicate,,,,,,,[ICE]: error performing operation: fully_perform,2024-11-06T07:19:43Z,2024-11-06T16:01:35Z,,,,,,0,,,,,0,,,,,,,,,,,
132372,"{'S-has-bisection', 'A-associated-items', 'T-types', 'regression-from-stable-to-nightly', 'T-compiler', 'S-has-mcve', 'C-bug', 'A-type-system'}",https://github.com/rust-lang/rust/issues/132372,valid,developer,2. Correctness Issues-Completeness Issues,,2. HIR-type & wf check,1. Type-Opaque Types,1,Shorthand projections inside RPITITs fail to resolve,2024-10-30T21:34:38Z,2024-10-31T03:35:01Z,132373,https://github.com/rust-lang/rust/pull/132373,Make sure `type_param_predicates` resolves correctly for RPITIT,2024/10/30 22:33,2024/10/31 3:35,0,23,"['predicates_of.rs', 'shorthand-projection-in-rpitit-bound.rs']","['compiler/rustc_hir_analysis/src/collect', 'tests/ui/impl-trait/in-trait']",,0,"#![allow(async_fn_in_trait)]
 pub trait foo {}
 
 pub trait bar {
 type foo: foo;
 }
 pub trait baz {
 async fn boom<X: bar>() -> Result<(), X::foo>;
 }","#![allow(async_fn_in_trait)]
 pub trait foo {}
 
 pub trait bar {
 type foo: foo;
 }
 pub trait baz {
 async fn boom<X: bar>() -> Result<(), X::foo>;
 }",,1,,,,,,,
132000,"{'T-types', 'A-trait-objects', 'regression-from-stable-to-beta', 'C-bug'}",https://github.com/rust-lang/rust/issues/132000,Not a bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131969,"{'A-trait-system', 'P-high', 'regression-from-stable-to-nightly', 'C-bug'}",https://github.com/rust-lang/rust/issues/131969,valid,developer,2. Correctness Issues-Completeness Issues,,2. HIR-trait solving,1. Type-New Solver,2,Diesel new coherence failure: conflicting implementations of trait,2024-10-20T13:51:12Z,2024-10-21T20:18:01Z,132001,https://github.com/rust-lang/rust/pull/132001,fix coherence error for very large tuples鈩?2024-10-21 14:26,2024/10/21 20:18,1,122,"['canonical.rs', 'coherence.rs', 'do-not-bail-due-to-placeholders.rs', 'normalize-allow-too-many-vars.rs', 'coherence-alias-hang.rs', 'recursion-limit-zero-issue-115351.rs', 'recursion-limit-zero-issue-115351.stderr']","['compiler/rustc_next_trait_solver/src/solve/eval_ctxt', 'compiler/rustc_trait_selection/src/traits', 'tests/ui/traits/next-solver/canonical', 'tests/ui/traits/next-solver/normalize', 'tests/ui/traits/next-solver/overflow', 'tests/ui/traits/next-solver/overflow', 'tests/ui/traits/next-solver/overflow']",P-high,0,,,,,,,,,,,,
131915,"{'I-ICE', 'S-bug-has-test', 'A-HIR', 'T-compiler', 'A-ast', 'C-bug'}",https://github.com/rust-lang/rust/issues/131915,valid,icemaker,1. Crash-Front-end Panic,invalid,1. AST,4. Basic syntax&structure,2,ICE: `adding a def'n for node-id NodeId(13) and def kind AnonConst but a previous def'n exists: DefKey`,2024-10-19T06:33:25Z,2024-11-12T08:14:33Z,132653,https://github.com/rust-lang/rust/pull/132653,Don't use `maybe_unwrap_block` when checking for macro calls in a block expr,2024/11/5 17:26,2024/11/12 8:14,24,502,"['ast.rs', 'def_collector.rs', '131915.rs', 'const_arg_trivial_macro_expansion-2.rs', 'const_arg_trivial_macro_expansion-2.stderr', 'const_arg_trivial_macro_expansion.rs']","['compiler/rustc_ast/src', 'compiler/rustc_resolve/src', 'tests/crashes', 'tests/ui/const-generics/early', 'tests/ui/const-generics/early', 'tests/ui/const-generics/early']",,0,"macro_rules! y {
 ($macro_name:tt $($matcher:tt)*) => {
 x
 };
 }
 
 const _: A<{ y!{ test.tou8 } }>;","macro_rules! y {
 ( $($matcher:tt)*) => {
 x
 };
 }
 
 const _: A<
 {
 y! { test.tou8 }
 },
 >;
 ",,,,,,,,,
131902,"{'I-ICE', 'T-compiler', 'A-MIR', 'C-bug'}",https://github.com/rust-lang/rust/issues/131902,valid,developer,1. Crash-Front-end Panic,valid,3. MIR-Dataflow Analysis,5. Exception Handling & Report,1,Panic in `rustc` when casting invalid enum discriminant,2024-10-18T20:03:13Z,2024-10-24T05:47:51Z,131909,https://github.com/rust-lang/rust/pull/131909,Prevent overflowing enum cast from ICEing,2024/10/18 22:09,2024/10/24 5:47,5,79,"['expr.rs', 'E0081.rs', 'E0081.stderr']","['compiler/rustc_mir_build/src/thir/cx', 'tests/ui/error-codes', 'tests/ui/error-codes']",,0,"#[repr(u8)]
 enum EnumU8 {
 // Uncomment the line below to trigger a panic
 // XXXX,
 X000, X001, X002, X003, X004, X005, X006, X007, X008, X009,
 X010, X011, X012, X013, X014, X015, X016, X017, X018, X019,
 X020, X021, X022, X023, X024, X025, X026, X027, X028, X029,
 X030, X031, X032, X033, X034, X035, X036, X037, X038, X039,
 X040, X041, X042, X043, X044, X045, X046, X047, X048, X049,
 X050, X051, X052, X053, X054, X055, X056, X057, X058, X059,
 X060, X061, X062, X063, X064, X065, X066, X067, X068, X069,
 X070, X071, X072, X073, X074, X075, X076, X077, X078, X079,
 X080, X081, X082, X083, X084, X085, X086, X087, X088, X089,
 X090, X091, X092, X093, X094, X095, X096, X097, X098, X099,
 X100, X101, X102, X103, X104, X105, X106, X107, X108, X109,
 X110, X111, X112, X113, X114, X115, X116, X117, X118, X119,
 X120, X121, X122, X123, X124, X125, X126, X127, X128, X129,
 X130, X131, X132, X133, X134, X135, X136, X137, X138, X139,
 X140, X141, X142, X143, X144, X145, X146, X147, X148, X149,
 X150, X151, X152, X153, X154, X155, X156, X157, X158, X159,
 X160, X161, X162, X163, X164, X165, X166, X167, X168, X169,
 X170, X171, X172, X173, X174, X175, X176, X177, X178, X179,
 X180, X181, X182, X183, X184, X185, X186, X187, X188, X189,
 X190, X191, X192, X193, X194, X195, X196, X197, X198, X199,
 X200, X201, X202, X203, X204, X205, X206, X207, X208, X209,
 X210, X211, X212, X213, X214, X215, X216, X217, X218, X219,
 X220, X221, X222, X223, X224, X225, X226, X227, X228, X229,
 X230, X231, X232, X233, X234, X235, X236, X237, X238, X239,
 X240, X241, X242, X243, X244, X245, X246, X247, X248, X249,
 X250, X251, X252, X253, X254, X255,
 }
 
 fn main() {
 let x = EnumU8::X255 as u8;
 }","#[repr(u8)]
 enum EnumU8 {
 // Uncomment the line below to trigger a panic
 // XXXX,
 X000, X001, X002, X003, X004, X005, X006, X007, X008, X009,
 X010, X011, X012, X013, X014, X015, X016, X017, X018, X019,
 X020, X021, X022, X023, X024, X025, X026, X027, X028, X029,
 X030, X031, X032, X033, X034, X035, X036, X037, X038, X039,
 X040, X041, X042, X043, X044, X045, X046, X047, X048, X049,
 X050, X051, X052, X053, X054, X055, X056, X057, X058, X059,
 X060, X061, X062, X063, X064, X065, X066, X067, X068, X069,
 X070, X071, X072, X073, X074, X075, X076, X077, X078, X079,
 X080, X081, X082, X083, X084, X085, X086, X087, X088, X089,
 X090, X091, X092, X093, X094, X095, X096, X097, X098, X099,
 X100, X101, X102, X103, X104, X105, X106, X107, X108, X109,
 X110, X111, X112, X113, X114, X115, X116, X117, X118, X119,
 X120, X121, X122, X123, X124, X125, X126, X127, X128, X129,
 X130, X131, X132, X133, X134, X135, X136, X137, X138, X139,
 X140, X141, X142, X143, X144, X145, X146, X147, X148, X149,
 X150, X151, X152, X153, X154, X155, X156, X157, X158, X159,
 X160, X161, X162, X163, X164, X165, X166, X167, X168, X169,
 X170, X171, X172, X173, X174, X175, X176, X177, X178, X179,
 X180, X181, X182, X183, X184, X185, X186, X187, X188, X189,
 X190, X191, X192, X193, X194, X195, X196, X197, X198, X199,
 X200, X201, X202, X203, X204, X205, X206, X207, X208, X209,
 X210, X211, X212, X213, X214, X215, X216, X217, X218, X219,
 X220, X221, X222, X223, X224, X225, X226, X227, X228, X229,
 X230, X231, X232, X233, X234, X235, X236, X237, X238, X239,
 X240, X241, X242, X243, X244, X245, X246, X247, X248, X249,
 X250, X251, X252, X253, X254, X255,
 }
 
 fn main() {
 let x = EnumU8::X255 as u8;
 }",,,,,,,,,
131839,"{'A-trait-system', 'T-compiler', 'C-bug', 'T-rustdoc'}",https://github.com/rust-lang/rust/issues/131839,valid,developer,4. Diagnostic Issues-Improper Fix Suggestion,,2. HIR-trait solving,1. Type-New Solver,1,Some trait methods don't appear in the documentation for types that implement the trait,2024-10-17T15:53:19Z,2024-10-22T01:38:02Z,131840,https://github.com/rust-lang/rust/pull/131840,Dont consider predicates that may hold as impossible in `is_impossible_associated_item`,2024/10/17 16:34,2024/10/22 1:38,4,34,"['mod.rs', 'impossible-default.rs']","['compiler/rustc_trait_selection/src/traits', 'tests/rustdoc']",,0,,,,,,,,,,,
131820,"{'A-trait-objects', 'T-types', 'T-compiler', 'C-bug', 'F-trait_upcasting', 'A-auto-traits'}",https://github.com/rust-lang/rust/issues/131820,duplicate,,,,,,,vtables may be include auto traits,2024-10-17T08:43:58Z,2024-10-17T20:41:18Z,,,,,,0,,,,,0,,,,,,,,,,,
131813,"{'A-trait-objects', 'I-unsound', 'T-types', 'requires-nightly', 'A-coercions', 'T-compiler', 'C-bug', 'F-trait_upcasting'}",https://github.com/rust-lang/rust/issues/131813,valid,developer,3. Miscompilation-Safe Rust Causes UB,,2. HIR-trait solving,1. Type-Trait & Bound,1,`trait_upcasting` unsoundness due to reordered super traits,2024-10-17T03:55:14Z,2024-10-18T20:05:26Z,131864,https://github.com/rust-lang/rust/pull/131864,Never emit `vptr` for empty/auto traits,2024/10/18 0:30,2024/10/18 20:05,1,50,"['vtable.rs', 'print_vtable_sizes.stdout', 'upcast_reorder.rs', 'multiple-markers.stderr']","['compiler/rustc_trait_selection/src/traits', 'tests/ui/traits/object', 'tests/ui/traits', 'tests/ui/traits/vtable']",,0,"#![feature(trait_upcasting)]
 
 trait Pollable {
 #[allow(unused)]
 fn poll(&self) {}
 }
 trait FileIo: Pollable + Send + Sync {
 fn read(&self) {}
 }
 trait Terminal: Send + Sync + FileIo {}
 
 struct A;
 
 impl Pollable for A {}
 impl FileIo for A {}
 impl Terminal for A {}
 
 fn main() {
 let a = A;
 
 let b = &a as &dyn Terminal;
 let c = b as &dyn FileIo;
 
 c.read();
 }","#![feature(trait_upcasting)]
 
 trait Pollable {
 #[allow(unused)]
 fn poll(&self) {}
 }
 trait FileIo: Pollable + Send {
 fn read(&self) {}
 }
 trait Terminal: Send + FileIo {}
 
 struct A;
 
 impl Pollable for A {}
 impl FileIo for A {}
 impl Terminal for A {}
 
 fn main() {
 let a = A;
 
 let b = &a as &dyn Terminal;
 let c = b as &dyn FileIo;
 
 c.read();
 }",,,1,,,Send,,,#![feature(trait_upcasting)]
131603,"{'I-ICE', 'T-compiler', 'C-bug', 'A-borrow-checker', 'E-needs-mcve'}",https://github.com/rust-lang/rust/issues/131603,duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131538,"{'I-ICE', 'A-trait-system', 'A-GATs', 'F-generic_associated_types_extended', 'F-trivial_bounds', 'A-inference', 'T-compiler', 'C-bug', 'F-return_type_notation'}",https://github.com/rust-lang/rust/issues/131538,exclude,,,,,,,ICE: unexpected const placeholder ,2024-10-11T09:36:52Z,2024-12-07T08:35:39Z,,,,,,56,,,,,0,,,,,,,,,,,
131535,"{'I-ICE', 'A-trait-system', 'F-non_lifetime_binders', 'S-bug-has-test', 'T-compiler', 'C-bug'}",https://github.com/rust-lang/rust/issues/131535,valid,icemaker,1. Crash-Front-end Panic,invalid,2. HIR-type & wf check,1. Type-Opaque Types,1,"ICE: `WellFormed .. has escaping bound vars, so it cannot be wrapped in a dummy binder.`",2024-10-11T08:44:48Z,2024-11-17T12:50:57Z,132832,https://github.com/rust-lang/rust/pull/132832,Deny capturing late-bound ty/const params in nested opaques,2024/11/10 4:37,2024/11/17 12:50,37,97,"['resolve_bound_vars.rs', '131535.rs', '131637.rs', '132530.rs', 'non-lifetime-binder-in-constraint.rs', 'non-lifetime-binder-in-constraint.stderr', 'non-lifetime-binder.rs', 'non-lifetime-binder.stderr']","['compiler/rustc_hir_analysis/src/collect', 'tests/crashes', 'tests/crashes', 'tests/crashes', 'tests/ui/type-alias-impl-trait', 'tests/ui/type-alias-impl-trait', 'tests/ui/type-alias-impl-trait', 'tests/ui/type-alias-impl-trait']",,0,"#![feature(non_lifetime_binders)]
 trait v0<> {}
 fn kind :(v0<'_, v2 = impl v0<v4> + '_> impl for<v4> v0<'_, v2 = impl v0<v4> + '_>) {}","#![feature(non_lifetime_binders)]
 trait v0<> {}
 fn kind :(v0<'_, > impl for<v4> v0<'_, v2 = impl v0<v4> + '_>) {}
 ",,,,,1,,,,#![feature(non_lifetime_binders)]
131227,"{'I-ICE', 'S-bug-has-test', 'T-compiler', 'S-has-mcve', 'C-bug', 'A-mir-opt'}",https://github.com/rust-lang/rust/issues/131227,valid,developer,1. Crash-Front-end Panic,valid,3. MIR-MIR Transform,3. Opt-Missing Cases,1,[ICE]: got a pointer where a ScalarInt was expected: alloc1,2024-10-04T07:35:23Z,2024-12-10T06:31:22Z,134073,https://github.com/rust-lang/rust/pull/134073,dataflow_const_prop: do not eval a ptr address in SwitchInt,2024/12/9 12:31,2024/12/10 6:31,66,44,"['dataflow_const_prop.rs', '131227.rs', 'ptr-in-switch-int-issue-131227.rs']","['compiler/rustc_mir_transform/src', 'tests/crashes', 'tests/ui/dataflow_const_prop']",,0,"pub static mut G: i32 = 0;
 fn myfunc() -> i32 {
 let var: *mut i32 = &raw mut G;
 if !var.is_null() {
 return 0;
 }
 return 0;
 }
 pub fn main() {
 myfunc();
 }","pub static mut G: i32 = 0;
 fn myfunc() -> i32 {
 let var: *mut i32 = &raw mut G;
 if !var.is_null() {
 return 0;
 }
 return 0;
 }
 pub fn main() {
 myfunc();
 }",,,,,,,,,
131219,"{'C-optimization', 'T-compiler', 'A-mir-opt'}",https://github.com/rust-lang/rust/issues/131219,exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
